 ratio = 1.00,  acc = 0.9576, auROC = 0.9553, auPRC = 0.7907, reverse_auPRC = 0.9948, merged_acc = 0.9522, merged_auROC = 0.9624, merged_auPRC = 0.8393, merged_reverse_auPRC = 0.9952
 ratio = 0.95,  acc = 0.9576, auROC = 0.9553, auPRC = 0.7907, reverse_auPRC = 0.9948, merged_acc = 0.9522, merged_auROC = 0.9624, merged_auPRC = 0.8393, merged_reverse_auPRC = 0.9952
 ratio = 0.90,  acc = 0.9576, auROC = 0.9554, auPRC = 0.7910, reverse_auPRC = 0.9948, merged_acc = 0.9521, merged_auROC = 0.9625, merged_auPRC = 0.8394, merged_reverse_auPRC = 0.9952
 ratio = 0.85,  acc = 0.9573, auROC = 0.9552, auPRC = 0.7896, reverse_auPRC = 0.9948, merged_acc = 0.9520, merged_auROC = 0.9629, merged_auPRC = 0.8400, merged_reverse_auPRC = 0.9953
 ratio = 0.80,  acc = 0.9564, auROC = 0.9547, auPRC = 0.7874, reverse_auPRC = 0.9947, merged_acc = 0.9487, merged_auROC = 0.9625, merged_auPRC = 0.8390, merged_reverse_auPRC = 0.9952
 ratio = 0.75,  acc = 0.9565, auROC = 0.9538, auPRC = 0.7854, reverse_auPRC = 0.9946, merged_acc = 0.9491, merged_auROC = 0.9616, merged_auPRC = 0.8369, merged_reverse_auPRC = 0.9951
 ratio = 0.70,  acc = 0.9565, auROC = 0.9534, auPRC = 0.7844, reverse_auPRC = 0.9945, merged_acc = 0.9493, merged_auROC = 0.9609, merged_auPRC = 0.8360, merged_reverse_auPRC = 0.9949
 ratio = 0.65,  acc = 0.9570, auROC = 0.9531, auPRC = 0.7853, reverse_auPRC = 0.9945, merged_acc = 0.9531, merged_auROC = 0.9608, merged_auPRC = 0.8369, merged_reverse_auPRC = 0.9949
 ratio = 0.60,  acc = 0.9560, auROC = 0.9527, auPRC = 0.7808, reverse_auPRC = 0.9944, merged_acc = 0.9527, merged_auROC = 0.9610, merged_auPRC = 0.8353, merged_reverse_auPRC = 0.9949
 ratio = 0.55,  acc = 0.9548, auROC = 0.9513, auPRC = 0.7757, reverse_auPRC = 0.9943, merged_acc = 0.9493, merged_auROC = 0.9595, merged_auPRC = 0.8321, merged_reverse_auPRC = 0.9947
 ratio = 0.50,  acc = 0.9550, auROC = 0.9499, auPRC = 0.7737, reverse_auPRC = 0.9941, merged_acc = 0.9464, merged_auROC = 0.9577, merged_auPRC = 0.8289, merged_reverse_auPRC = 0.9943
 ratio = 0.45,  acc = 0.9505, auROC = 0.9399, auPRC = 0.7466, reverse_auPRC = 0.9928, merged_acc = 0.9332, merged_auROC = 0.9474, merged_auPRC = 0.8047, merged_reverse_auPRC = 0.9928
 ratio = 0.40,  acc = 0.9493, auROC = 0.9371, auPRC = 0.7365, reverse_auPRC = 0.9924, merged_acc = 0.9319, merged_auROC = 0.9449, merged_auPRC = 0.7946, merged_reverse_auPRC = 0.9925
 ratio = 0.35,  acc = 0.9494, auROC = 0.9374, auPRC = 0.7340, reverse_auPRC = 0.9923, merged_acc = 0.9367, merged_auROC = 0.9465, merged_auPRC = 0.7956, merged_reverse_auPRC = 0.9929
 ratio = 0.30,  acc = 0.9461, auROC = 0.9339, auPRC = 0.7222, reverse_auPRC = 0.9918, merged_acc = 0.9275, merged_auROC = 0.9429, merged_auPRC = 0.7856, merged_reverse_auPRC = 0.9922
 ratio = 0.25,  acc = 0.9454, auROC = 0.9279, auPRC = 0.7100, reverse_auPRC = 0.9910, merged_acc = 0.9259, merged_auROC = 0.9342, merged_auPRC = 0.7703, merged_reverse_auPRC = 0.9908
 ratio = 0.20,  acc = 0.9287, auROC = 0.9149, auPRC = 0.6445, reverse_auPRC = 0.9897, merged_acc = 0.8986, merged_auROC = 0.9217, merged_auPRC = 0.7207, merged_reverse_auPRC = 0.9891
 ratio = 0.15,  acc = 0.8648, auROC = 0.8735, auPRC = 0.5544, reverse_auPRC = 0.9839, merged_acc = 0.7943, merged_auROC = 0.8863, merged_auPRC = 0.6369, merged_reverse_auPRC = 0.9831
 ratio = 0.10,  acc = 0.8052, auROC = 0.7866, auPRC = 0.3964, reverse_auPRC = 0.9711, merged_acc = 0.7662, merged_auROC = 0.8171, merged_auPRC = 0.4944, merged_reverse_auPRC = 0.9717
 ratio = 0.05,  acc = 0.8540, auROC = 0.7589, auPRC = 0.3643, reverse_auPRC = 0.9680, merged_acc = 0.8303, merged_auROC = 0.7942, merged_auPRC = 0.4666, merged_reverse_auPRC = 0.9686
